customer_id,segment,age,annual_spend,loyalty_years,nps_score,churn_risk
1,Standard,43,492.68,1,10,Low
2,Standard,34,526.33,9,8,Medium
3,Standard,44,327.45,4,3,High
4,Premium,41,767.94,1,7,Low
5,Budget,27,113.61,9,8,Medium
6,Standard,44,416.35,5,3,Low
7,Standard,47,486.87,10,2,High
8,Budget,40,79.0,9,8,High
9,Standard,51,418.9,0,3,Medium
10,Budget,25,130.32,5,7,Medium
11,Standard,43,390.77,3,1,High
12,Standard,25,423.6,2,6,Low
13,Budget,26,133.41,1,9,Low
14,Standard,31,370.16,6,3,Medium
15,Standard,28,359.68,8,7,Low
16,Budget,32,173.96,11,6,Low
17,Standard,36,419.78,2,8,High
18,Standard,47,400.96,5,3,Medium
19,Standard,34,259.26,8,3,Low
20,Budget,21,126.75,1,4,Low
21,Budget,51,171.45,6,3,Low
22,Standard,29,383.58,4,9,Low
23,Standard,37,442.66,4,4,Low
24,Budget,43,201.83,10,6,Medium
25,Premium,40,1032.91,6,8,Low
26,Standard,50,388.85,8,8,Low
27,Budget,43,122.12,3,5,Low
28,Budget,29,50.63,8,5,High
29,Budget,62,134.11,10,6,Low
30,Standard,40,349.03,9,10,Low
31,Premium,36,900.03,8,7,Low
32,Standard,49,365.38,3,10,Medium
33,Standard,41,349.56,2,7,Medium
34,Standard,42,210.96,1,4,Low
35,Budget,65,107.1,8,6,Low
36,Premium,35,917.71,11,7,Low
37,Budget,35,200.06,1,5,Medium
38,Standard,39,370.74,5,5,Medium
39,Standard,50,411.14,4,2,Low
40,Premium,21,1015.26,4,7,Low
41,Standard,18,302.97,3,6,Low
42,Premium,32,895.2,5,1,Low
43,Budget,20,114.08,4,4,Medium
44,Budget,33,170.27,10,3,Low
45,Standard,44,394.38,3,3,Low
46,Standard,28,408.35,8,7,Low
47,Budget,22,112.61,5,10,High
48,Standard,39,447.17,10,4,High
49,Premium,47,1247.37,9,8,Low
50,Standard,19,284.25,9,9,Low
51,Budget,47,128.11,9,3,Low
52,Premium,47,867.48,2,5,Low
53,Standard,48,454.71,9,4,Low
54,Budget,51,120.42,5,10,Medium
55,Premium,62,239.23,0,6,Medium
56,Premium,34,1098.63,4,10,High
57,Standard,39,452.25,9,4,Low
58,Budget,33,79.0,5,8,High
59,Standard,38,322.28,10,3,Medium
60,Budget,55,194.89,7,5,Low
