month,monthly_revenue,units_sold,new_customers,returning_customers,marketing_spend,return_on_ad_spend
Jan 2023,41000,347,106,367,6500,6.31
Feb 2023,37500,317,104,364,5800,6.47
Mar 2023,50000,423,166,311,7200,6.94
Apr 2023,54000,457,85,185,8100,6.67
May 2023,61000,516,114,353,9000,6.78
Jun 2023,68000,576,181,397,10500,6.48
Jul 2023,73500,622,108,234,11000,6.68
Aug 2023,71000,601,98,322,10200,6.96
Sep 2023,66000,559,120,188,9500,6.95
Oct 2023,79000,669,153,324,12000,6.58
Nov 2023,87000,737,159,345,14000,6.21
Dec 2023,96500,817,108,213,15500,6.23
